"","subject","item","region","measure","proficiency","sort","condition","skips","rawdata","nozero","ambiguity","gender"
"6838",9,10,"disamb","fp",70,"disamb fp",2,0,240,240,"Ambiguous","Mismatch"
"6840",9,24,"disamb","fp",70,"disamb fp",4,0,242,242,"Unambiguous","Mismatch"
"6842",9,7,"disamb","fp",70,"disamb fp",3,0,274,274,"Unambiguous","Match"
"6844",9,20,"disamb","fp",70,"disamb fp",4,0,250,250,"Unambiguous","Mismatch"
"6846",9,19,"disamb","fp",70,"disamb fp",3,0,402,402,"Unambiguous","Match"
"6848",9,15,"disamb","fp",70,"disamb fp",3,0,298,298,"Unambiguous","Match"
"6850",9,1,"disamb","fp",70,"disamb fp",1,0,244,244,"Ambiguous","Match"
"6852",9,18,"disamb","fp",70,"disamb fp",2,0,372,372,"Ambiguous","Mismatch"
"6854",9,17,"disamb","fp",70,"disamb fp",1,0,326,326,"Ambiguous","Match"
"6856",9,23,"disamb","fp",70,"disamb fp",3,0,458,458,"Unambiguous","Match"
"6858",9,9,"disamb","fp",70,"disamb fp",1,0,490,490,"Ambiguous","Match"
"6860",9,13,"disamb","fp",70,"disamb fp",1,0,458,458,"Ambiguous","Match"
"6862",9,4,"disamb","fp",70,"disamb fp",4,0,236,236,"Unambiguous","Mismatch"
"6864",9,22,"disamb","fp",70,"disamb fp",2,0,298,298,"Ambiguous","Mismatch"
"6866",9,8,"disamb","fp",70,"disamb fp",4,0,372,372,"Unambiguous","Mismatch"
"6868",9,12,"disamb","fp",70,"disamb fp",4,0,192,192,"Unambiguous","Mismatch"
"6870",9,6,"disamb","fp",70,"disamb fp",2,0,248,248,"Ambiguous","Mismatch"
"7687",10,23,"disamb","fp",63,"disamb fp",4,0,370,370,"Unambiguous","Mismatch"
"7689",10,18,"disamb","fp",63,"disamb fp",3,0,252,252,"Unambiguous","Match"
"7691",10,19,"disamb","fp",63,"disamb fp",4,0,204,204,"Unambiguous","Mismatch"
"7693",10,16,"disamb","fp",63,"disamb fp",1,0,922,922,"Ambiguous","Match"
"7695",10,17,"disamb","fp",63,"disamb fp",2,0,258,258,"Ambiguous","Mismatch"
"7697",10,1,"disamb","fp",63,"disamb fp",2,0,512,512,"Ambiguous","Mismatch"
"7699",10,22,"disamb","fp",63,"disamb fp",3,0,404,404,"Unambiguous","Match"
"7701",10,20,"disamb","fp",63,"disamb fp",1,0,154,154,"Ambiguous","Match"
"7703",10,14,"disamb","fp",63,"disamb fp",3,0,244,244,"Unambiguous","Match"
"7705",10,11,"disamb","fp",63,"disamb fp",4,0,340,340,"Unambiguous","Mismatch"
