"","subject","item","region","measure","sort","condition","skips","rawdata","nozero","proficiency","ambiguity","continuation","trimmed_nozero"
"30876",8,41,"spillover2","tt","spillover2 tt",8,0,782,782,57,"Unambiguous","Inconsistent",782
"30878",8,43,"spillover2","tt","spillover2 tt",6,0,954,954,57,"Unambiguous","Consistent",954
"30880",8,48,"spillover2","tt","spillover2 tt",7,0,336,336,57,"Ambiguous","Inconsistent",336
"30882",8,44,"spillover2","tt","spillover2 tt",7,0,852,852,57,"Ambiguous","Inconsistent",852
"30884",8,28,"spillover2","tt","spillover2 tt",7,0,594,594,57,"Ambiguous","Inconsistent",594
"30886",8,45,"spillover2","tt","spillover2 tt",8,0,564,564,57,"Unambiguous","Inconsistent",564
"30888",8,27,"spillover2","tt","spillover2 tt",6,0,240,240,57,"Unambiguous","Consistent",240
"30890",8,47,"spillover2","tt","spillover2 tt",6,0,560,560,57,"Unambiguous","Consistent",560
"30892",8,36,"spillover2","tt","spillover2 tt",7,0,1026,1026,57,"Ambiguous","Inconsistent",1026
"30894",8,35,"spillover2","tt","spillover2 tt",6,0,542,542,57,"Unambiguous","Consistent",542
"30896",8,31,"spillover2","tt","spillover2 tt",6,0,752,752,57,"Unambiguous","Consistent",752
"30898",8,33,"spillover2","tt","spillover2 tt",8,0,1778,1778,57,"Unambiguous","Inconsistent",1778
"30900",8,30,"spillover2","tt","spillover2 tt",5,0,186,186,57,"Ambiguous","Consistent",186
"30902",8,29,"spillover2","tt","spillover2 tt",8,0,540,540,57,"Unambiguous","Inconsistent",540
"30904",8,46,"spillover2","tt","spillover2 tt",5,0,1882,1882,57,"Ambiguous","Consistent",1882
"30906",8,40,"spillover2","tt","spillover2 tt",7,0,858,858,57,"Ambiguous","Inconsistent",858
"30908",8,34,"spillover2","tt","spillover2 tt",5,0,424,424,80,"Ambiguous","Consistent",424
"30910",8,25,"spillover2","tt","spillover2 tt",8,0,1446,1446,80,"Unambiguous","Inconsistent",1446
"30912",8,38,"spillover2","tt","spillover2 tt",5,0,582,582,80,"Ambiguous","Consistent",582
"30914",8,26,"spillover2","tt","spillover2 tt",5,0,864,864,80,"Ambiguous","Consistent",864
"30916",8,42,"spillover2","tt","spillover2 tt",5,0,876,876,80,"Ambiguous","Consistent",876
"30918",8,37,"spillover2","tt","spillover2 tt",8,0,324,324,80,"Unambiguous","Inconsistent",324
