"","subject","item","region","measure","sort","condition","skips","rawdata","nozero","proficiency","ambiguity","gender","trimmed_nozero"
"11960",11,17,"disamb","rp","disamb rp",3,0,244,244,72,"Unambiguous","Match",244
"11962",11,4,"disamb","rp","disamb rp",2,0,354,354,72,"Ambiguous","Mismatch",354
"11964",11,11,"disamb","rp","disamb rp",1,0,660,660,72,"Ambiguous","Match",660
"11966",11,6,"disamb","rp","disamb rp",4,0,302,302,72,"Unambiguous","Mismatch",302
"11968",11,8,"disamb","rp","disamb rp",2,0,354,354,72,"Ambiguous","Mismatch",354
"11970",11,23,"disamb","rp","disamb rp",1,0,848,848,72,"Ambiguous","Match",848
"11972",11,5,"disamb","rp","disamb rp",3,0,350,350,72,"Unambiguous","Match",350
"11974",11,7,"disamb","rp","disamb rp",1,0,2204,2204,72,"Ambiguous","Match",2204
"11976",11,13,"disamb","rp","disamb rp",3,0,356,356,72,"Unambiguous","Match",356
"11978",12,14,"disamb","rp","disamb rp",3,0,277,277,72,"Unambiguous","Match",277
"11980",12,7,"disamb","rp","disamb rp",4,0,473,473,72,"Unambiguous","Mismatch",473
"11982",12,11,"disamb","rp","disamb rp",4,0,368,368,72,"Unambiguous","Mismatch",368
"11984",12,19,"disamb","rp","disamb rp",4,1,0,NA,72,"Unambiguous","Mismatch",NA
"11986",12,24,"disamb","rp","disamb rp",1,0,787,787,72,"Ambiguous","Match",787
"11988",12,18,"disamb","rp","disamb rp",3,0,175,175,72,"Unambiguous","Match",175
"11990",12,15,"disamb","rp","disamb rp",4,0,229,229,72,"Unambiguous","Mismatch",229
"11992",12,20,"disamb","rp","disamb rp",1,0,150,150,72,"Ambiguous","Match",150
"11994",12,22,"disamb","rp","disamb rp",3,1,0,NA,72,"Unambiguous","Match",NA
"11996",12,23,"disamb","rp","disamb rp",4,0,546,546,72,"Unambiguous","Mismatch",546
"11998",12,2,"disamb","rp","disamb rp",3,0,172,172,72,"Unambiguous","Match",172
"12000",12,6,"disamb","rp","disamb rp",3,0,266,266,72,"Unambiguous","Match",266
"12002",12,3,"disamb","rp","disamb rp",4,0,207,207,72,"Unambiguous","Mismatch",207
"12004",12,4,"disamb","rp","disamb rp",1,0,905,905,72,"Ambiguous","Match",905
"12006",12,9,"disamb","rp","disamb rp",2,0,223,223,72,"Ambiguous","Mismatch",223
"12008",12,1,"disamb","rp","disamb rp",2,0,483,483,73,"Ambiguous","Mismatch",483
"12010",12,13,"disamb","rp","disamb rp",2,0,218,218,73,"Ambiguous","Mismatch",218
"12012",12,16,"disamb","rp","disamb rp",1,0,193,193,73,"Ambiguous","Match",193
"12014",12,8,"disamb","rp","disamb rp",1,0,741,741,73,"Ambiguous","Match",741
"12016",12,5,"disamb","rp","disamb rp",2,0,869,869,73,"Ambiguous","Mismatch",869
"12018",12,21,"disamb","rp","disamb rp",2,0,429,429,73,"Ambiguous","Mismatch",429
"12020",12,10,"disamb","rp","disamb rp",3,0,607,607,73,"Unambiguous","Match",607
"12022",12,17,"disamb","rp","disamb rp",2,0,1180,1180,73,"Ambiguous","Mismatch",1180
"12024",12,12,"disamb","rp","disamb rp",1,0,275,275,73,"Ambiguous","Match",275
"12027",13,7,"disamb","rp","disamb rp",2,0,536,536,73,"Ambiguous","Mismatch",536
"12029",13,3,"disamb","rp","disamb rp",2,0,544,544,73,"Ambiguous","Mismatch",544
"12031",13,20,"disamb","rp","disamb rp",3,0,362,362,73,"Unambiguous","Match",362
"12033",13,23,"disamb","rp","disamb rp",2,0,900,900,73,"Ambiguous","Mismatch",900
"12035",13,2,"disamb","rp","disamb rp",1,0,2214,2214,73,"Ambiguous","Match",2214
"12037",13,13,"disamb","rp","disamb rp",4,0,322,322,73,"Unambiguous","Mismatch",322
"12039",13,24,"disamb","rp","disamb rp",3,1,0,NA,73,"Unambiguous","Match",NA
"12041",13,11,"disamb","rp","disamb rp",2,0,346,346,73,"Ambiguous","Mismatch",346
"12043",13,14,"disamb","rp","disamb rp",1,0,4004,4004,73,"Ambiguous","Match",4004
"12045",13,8,"disamb","rp","disamb rp",3,0,324,324,73,"Unambiguous","Match",324
