"","subject","item","region","measure","proficiency1","proficiency2","sort","condition","skips","rawdata","nozero","ambiguity","continuation","trimmed_nozero"
"5287",7,47,"spillover2","fp",77,"High","spillover2 fp",5,0,462,462,"Ambiguous","Consistent",462
"5289",7,31,"spillover2","fp",77,"High","spillover2 fp",5,0,487,487,"Ambiguous","Consistent",487
"5291",7,30,"spillover2","fp",77,"High","spillover2 fp",8,0,185,185,"Unambiguous","Inconsistent",185
"5293",7,44,"spillover2","fp",77,"High","spillover2 fp",6,1,0,NA,"Unambiguous","Consistent",NA
"5295",7,42,"spillover2","fp",77,"High","spillover2 fp",8,0,262,262,"Unambiguous","Inconsistent",262
"5297",7,38,"spillover2","fp",77,"High","spillover2 fp",8,0,326,326,"Unambiguous","Inconsistent",326
"5299",7,39,"spillover2","fp",77,"High","spillover2 fp",5,0,619,619,"Ambiguous","Consistent",619
"5301",7,37,"spillover2","fp",77,"High","spillover2 fp",7,0,268,268,"Ambiguous","Inconsistent",268
"5303",7,28,"spillover2","fp",77,"High","spillover2 fp",6,0,226,226,"Unambiguous","Consistent",226
"5305",7,27,"spillover2","fp",77,"High","spillover2 fp",5,0,190,190,"Ambiguous","Consistent",190
"5307",7,34,"spillover2","fp",77,"High","spillover2 fp",8,0,258,258,"Unambiguous","Inconsistent",258
"5309",7,32,"spillover2","fp",77,"High","spillover2 fp",6,0,290,290,"Unambiguous","Consistent",290
"5311",7,36,"spillover2","fp",77,"High","spillover2 fp",6,1,0,NA,"Unambiguous","Consistent",NA
"5313",7,35,"spillover2","fp",77,"High","spillover2 fp",5,0,302,302,"Ambiguous","Consistent",302
"5315",7,45,"spillover2","fp",77,"High","spillover2 fp",7,0,311,311,"Ambiguous","Inconsistent",311
"5317",7,33,"spillover2","fp",77,"High","spillover2 fp",7,0,182,182,"Ambiguous","Inconsistent",182
"5319",7,29,"spillover2","fp",77,"High","spillover2 fp",7,0,285,285,"Ambiguous","Inconsistent",285
"5321",7,48,"spillover2","fp",77,"High","spillover2 fp",6,0,273,273,"Unambiguous","Consistent",273
"5323",7,26,"spillover2","fp",77,"High","spillover2 fp",8,0,372,372,"Unambiguous","Inconsistent",372
